video_id,category,subcategory,watched_on,channel,duration
818miPeuFWQ,Entertainment,comedy,2024-11-20T21:20:58.990Z,xQc Clips,0.010555555555555556
WZa_aZP91wQ,Gaming,gta,2024-11-20T21:17:13.480Z,xKennyy,2.063888888888889
gzg0StC47qU,Education,finance_market,2024-11-18T09:03:51.903Z,FIN[SYS],1.121388888888889
MeRIAew8eXc,Music,other,2024-11-18T15:58:09.895Z,CapturedTracks,0.04861111111111111
t9YndQCaA6c,Education,finance_market,2024-11-18T06:34:40.277Z,FIN[SYS],0.7261111111111112
DjOZoqVf0hc,Education,finance_market,2024-11-17T22:19:54.225Z,FIN[SYS],1.1522222222222223
-rYoRonmkS8,Entertainment,analysis,2024-11-17T00:10:55.829Z,Rocket Riley,0.12611111111111112
BtRyz1qGI8c,Music,other,2024-05-14T05:22:59.910Z,Metallica - Topic,0.0975
sy6rrQVkpDk,People & Blogs,other_people_blogs,2024-11-16T11:03:42.339Z,CKARAGZ,0.002777777777777778
l7QswCS2Atg,Music,other,2024-10-18T21:21:41.366Z,adriandotg,0.07611111111111112
XReecHl4Fak,Film & Animation,other,2024-11-15T18:02:38.453Z,Apex Clips,0.06805555555555555
DcwUJhDJet4,Entertainment,highlights,2024-11-15T18:02:33.137Z,ClipZone: High Octane Hits,0.1063888888888889
